    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26
0   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
1   0,  14,  14,  14,  14,  14,  14,  14,  10,  10,  10,  10,  10,  11,  11,  13,  13,  13,  13,  11,  18,  18,  18,  18,  18,  18,   0,
2   0,  14,  14,  14,  14,  14,  14,  10,  13,  10,  10,  10,  10,  11,  11,  13,  13,  13,  10,  18,  18,  18,  18,  18,  18,  18,   0,
3   0,  14,  14,  14,  14,  14,  14,  13,  10,  13,  10,  10,  11,  11,  10,  10,  13,  10,  18,  18,  18,  18,  18,  10,  10,  10,   0,
4   0,  14,  14,  14,  14,  14,  14,  10,  10,  10,  10,  11,  11,  10,  10,  10,  10,  18,  18,  18,  18,  18,  10,  13,  13,  13,   0,
5   0,  14,  14,  10,  10,  18,  18,  18,  18,  18,  10,  11,  11,  13,  18,  18,  18,  18,  18,  18,  18,  10,  13,  13,  11,  13,   0,
6   0,  18,  18,  18,  18,  18,  18,  18,  18,  18,  18,  18,  12,  18,  18,  18,  18,  18,  18,  18,  13,  10,  10,  13,  13,  13,   0,
7   0,  18,  18,  18,  18,  18,  18,  10,  10,  18,  18,  18,  12,  18,  18,  18,  18,  18,  18,  18,  18,  18,  10,  10,  10,  10,   0,
8   0,  18,  18,  18,  10,  10,  10,  10,  10,  10,  10,  10,  11,  10,  10,  18,  18,  18,  18,  18,  18,  18,  18,  18,  18,  18,   0,
9   0,  18,  18,  13,  13,  10,  10,  10,  13,  10,  10,  11,  11,  10,  10,  10,  10,  11,  10,  10,  13,  18,  18,  18,  18,  18,   0,
10  0,  13,  13,  13,  10,  10,  10,  10,  10,  10,  10,  11,  11,  11,  10,  10,  10,  10,  10,  10,  10,  10,  10,  18,  18,  18,   0,
11  0,  13,  13,  13,  10,  13,  10,  10,  10,  10,  10,  11,  11,  11,  13,  10,  10,  10,  10,  10,  10,  10,  10,  10,  18,  18,   0,
12  0,  13,  13,  13,  10,  10,  10,  10,  10,  10,  10,  11,  11,  11,  13,  13,  10,  10,  10,  10,  10,  11,  11,  10,  10,  18,   0,
13  0,  10,  10,  10,  10,  10,  13,  10,  10,  10,  10,  11,  11,  11,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
14  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  11,  11,  11,  10,  10,   0,   0,   0,  11,   0,   0,   0,  10,  10,  13,   0,
15  0,  13,   0,   0,   0,  10,   0,   0,   0,  10,  10,  11,  11,  11,  10,  10,   0,  15,   0,  15,  15,   0,   0,  10,  10,  10,   0,
16  0,  10,   0,   0,  15,  15,  15,   0,   0,  10,  10,  11,  11,  11,  10,  10,   0,  15,  15,  15,   0,   0,   0,  10,  10,  10,   0,
